Time,Time Code,Country Name,Country Code,Ease of doing business score (0 = lowest performance to 100 = best performance) [IC.BUS.DFRN.XQ],GDP per capita (current US$) [NY.GDP.PCAP.CD],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]
2019,YR2019,Albania,ALB,67.74847,5396.21586434732,18.1443771903866
2019,YR2019,Andorra,AND,..,41327.5020305489,..
2019,YR2019,Armenia,ARM,74.49401,4828.50517771789,22.2851709900772
2019,YR2019,Austria,AUT,78.74549,50070.4033482901,25.5821783311983
2019,YR2019,Azerbaijan,AZE,78.50823,4805.75371765917,14.2188526451777
2019,YR2019,Belarus,BLR,74.29113,6837.71782606351,13.3015061393462
2019,YR2019,Belgium,BEL,74.98904,46638.6813054855,22.62131642449
2019,YR2019,Bosnia and Herzegovina,BIH,65.44253,6011.37067052755,20.1013533136509
2019,YR2019,Bulgaria,BGR,71.97405,9879.33434282707,20.4736245713875
2019,YR2019,Channel Islands,CHI,..,..,..
2019,YR2019,Croatia,HRV,73.62096,15331.8830536722,21.6729080648553
2019,YR2019,Cyprus,CYP,73.35105,29417.138671875,23.3010327048071
2019,YR2019,Czechia,CZE,76.34054,23664.8478631108,14.7687696689181
2019,YR2019,Denmark,DNK,85.28856,59592.9806886454,34.6898168609167
2019,YR2019,Estonia,EST,80.61685,23424.4847073518,21.2928815250286
2019,YR2019,Faroe Islands,FRO,..,63383.196148417,..
2019,YR2019,Finland,FIN,80.17834,48629.8582283032,20.6684788499862
2019,YR2019,France,FRA,76.80465,40494.8982936276,24.5146627776513
2019,YR2019,Georgia,GEO,83.73393,4696.15058555612,23.1173329727924
2019,YR2019,Germany,DEU,79.71004,46793.6867616004,11.4111238433057
2019,YR2019,Gibraltar,GIB,..,..,..
2019,YR2019,Greece,GRC,68.42391,19144.284387556,26.1798097245255
2019,YR2019,Greenland,GRL,..,53256.2440862119,..
2019,YR2019,Hungary,HUN,73.41584,16782.9524639857,22.3684019223779
2019,YR2019,Iceland,ISL,78.96154,68853.71521658,21.8041300814743
2019,YR2019,Ireland,IRL,79.57614,80927.0746710666,17.7228804692017
2019,YR2019,Isle of Man,IMN,..,87157.4714603395,..
2019,YR2019,Italy,ITA,72.85055,33673.7509627421,24.5767049036025
2019,YR2019,Kazakhstan,KAZ,79.55915,9812.5958082732,11.78694274063
2019,YR2019,Kosovo,XKX,73.18473,4416.10835754636,..
2019,YR2019,Kyrgyz Republic,KGZ,67.82089,1374.03210467421,16.8640679486618
2019,YR2019,Latvia,LVA,80.28054,17945.2222164984,21.2656517507473
2019,YR2019,Liechtenstein,LIE,64.84421,167019.618092859,..
2019,YR2019,Lithuania,LTU,81.61948,19595.1415724355,19.9867204337659
2019,YR2019,Luxembourg,LUX,69.6031,112621.821337404,26.4782859693754
2019,YR2019,Moldova,MDA,74.39091,4493.37030323867,17.3103603225812
2019,YR2019,Monaco,MCO,..,199377.481831603,..
2019,YR2019,Montenegro,MNE,73.81891,8909.65333601178,..
2019,YR2019,Netherlands,NLD,76.10376,52476.2732533327,24.0454827779179
2019,YR2019,North Macedonia,MKD,80.74807,6070.38805358275,17.0832810795126
2019,YR2019,Norway,NOR,82.62729,75719.7528965342,23.5015787919912
2019,YR2019,Poland,POL,76.38122,15699.9113500703,17.3364818404434
2019,YR2019,Portugal,PRT,76.46616,23330.817288932,22.2011920067777
2019,YR2019,Romania,ROU,73.3332,12958.0755553785,14.536086195587
2019,YR2019,Russian Federation,RUS,78.16284,11536.2509765625,10.938399737976
2019,YR2019,San Marino,SMR,64.19133,47287.3983949924,16.9127343335333
2019,YR2019,Serbia,SRB,75.65345,7417.20364852201,24.0497349284773
2019,YR2019,Slovak Republic,SVK,75.58542,19383.4810445228,18.6260660928458
2019,YR2019,Slovenia,SVN,76.51751,26016.078683914,18.1721850221945
2019,YR2019,Spain,ESP,77.93588,29581.5185513299,13.7486320897494
2019,YR2019,Sweden,SWE,81.99155,51939.4297445291,27.4127018295836
2019,YR2019,Switzerland,CHE,76.61864,84121.9310304414,9.90716918660662
2019,YR2019,Tajikistan,TJK,61.26761,889.02026237745,..
2019,YR2019,Turkiye,TUR,76.79104,9103.04337531894,16.5496059846196
2019,YR2019,Turkmenistan,TKM,..,7344.64823305792,..
2019,YR2019,Ukraine,UKR,70.2106,3661.45629882813,19.1961400966208
2019,YR2019,United Kingdom,GBR,83.54968,42747.080460496,25.1175420444006
2019,YR2019,Uzbekistan,UZB,69.87898,1784.00981608195,12.6953747017566
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 12/22/2022,,,,,,
